1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 6663 43.37 51.82 10.84 2.70 2.31 1.83 1.39 1.02 "AMD Radeon HD 8570M"
1002 6664 62.04 71.85 12.78 3.18 2.70 2.34 1.81 1.36 "AMD Radeon R5 M200 Series"
1002 6665 43.56 59.64 12.23 3.05 2.59 2.11 1.60 1.17 "AMD Radeon (TM) R5 M320"
1002 666F 29.70 40.02 10.50 2.58 2.18 1.53 1.12 0.81 "AMD Radeon HD 8500M"
1002 66AF 25.48 58.49 16.95 4.90 4.20 2.19 2.14 1.45 "AMD Radeon VII"
1002 6707 69.81 68.90 50.33 7.78 4.68 2.43 1.57 1.08 "AMD FirePro V5900 (FireGL V)"
1002 6718 209.11 302.67 133.90 26.24 17.55 9.29 6.31 4.59 "AMD Radeon HD 6900 Series"
1002 6719 183.87 245.00 96.57 20.78 14.37 8.52 5.60 3.86 "AMD Radeon HD 6900 Series"
1002 671D 195.80 274.71 117.33 20.99 14.10 8.79 6.01 4.30 "AMD Radeon HD 6900 Series"
1002 671F 173.02 209.51 92.17 19.12 13.12 7.47 4.84 3.36 "AMD Radeon HD 6900 Series"
1002 6720 79.44 119.72 80.49 16.05 8.16 4.24 2.75 1.89 "AMD Radeon HD 6900M Series"
1002 6738 107.56 181.45 107.94 24.33 12.35 6.39 4.14 2.86 "AMD Radeon HD 6800 Series"
1002 6739 93.04 134.73 92.91 18.07 9.16 4.74 3.07 2.11 "AMD Radeon HD 6800 Series"
1002 673E 99.87 120.36 49.49 12.37 8.21 4.25 2.76 1.90 "AMD Radeon HD 6700 Series"
1002 6740 60.19 60.69 21.02 255.34 4.10 2.15 1.40 0.97 "AMD (ATI)  FirePro M5950 (FireGL) Mobility Pro Graphics"
1002 6741 48.06 48.32 16.58 4.14 3.19 1.71 1.11 0.77 "AMD Radeon 6600M and 6700M Series"
1002 6742 37.02 37.18 14.92 198.82 2.46 1.30 0.85 0.59 "AMD Radeon HD 6500 Series"
1002 6749 69.81 68.99 23.77 5.94 4.70 2.43 1.58 1.09 "AMD FirePro V4900"
1002 674A 56.45 56.07 19.32 4.83 3.68 1.98 1.28 0.88 "AMD FirePro V3900"
1002 6750 34.53 34.47 11.87 2.97 2.27 1.21 0.79 0.55 "AMD Radeon HD 6600A Series"
1002 6751 51.95 51.70 17.80 1044.63 3.29 1.81 1.18 0.81 "AMD Radeon(TM) HD 7650A Graphics"
1002 6758 68.42 65.23 22.26 147.48 4.17 2.34 1.54 1.07 "AMD Radeon HD 6600 Series"
1002 6759 56.18 56.08 18.04 4.75 3.29 1.89 1.25 0.87 "AMD Radeon HD 6570"
1002 675B 65.68 65.29 22.11 5.46 4.19 2.28 1.49 1.04 "AMD Radeon HD 7560D + 7670 Dual Graphics"
1002 675D 56.38 56.05 19.15 5.44 3.56 1.95 1.27 0.88 "AMD Radeon HD 7500 Series"
1002 675F 11.64 11.49 2.92 0.72 0.62 0.38 0.25 0.18 "AMD Radeon HD 5500 Series"
1002 6760 20.72 20.74 10.16 2.43 1.35 0.73 0.47 0.33 "AMD FirePro M3900"
1002 6770 18.40 14.39 9.36 2.25 1.24 0.66 0.42 0.30 "AMD Radeon HD 6400 Series"
1002 6771 25.17 24.96 12.02 2.76 1.61 0.87 0.57 0.39 "AMD Radeon HD 8490"
1002 6772 18.00 17.79 9.03 2.23 1.19 0.62 0.41 0.28 "AMD Radeon HD 7400A Series"
1002 6778 27.48 27.70 11.31 186.37 1.60 0.91 0.61 0.42 "AMD Radeon HD 7000 series"
1002 6779 18.30 18.11 8.28 1.99 1.15 0.62 0.41 0.28 "AMD RADEON HD 6450"
1002 677B 19.93 19.71 8.76 963.58 1.26 0.68 0.44 0.31 "AMD Radeon HD 7400 Series"
1002 6798 18.55 37.99 11.74 2.78 1.52 1.52 1.12 0.84 "AMD Radeon HD 7900 Series"
1002 679A 76.24 150.30 47.44 11.76 10.34 5.60 3.78 2.71 "AMD Radeon HD 7900 Series"
1002 679B 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon HD 7900 Series"
1002 679E 199.61 297.34 105.90 26.04 22.01 12.40 8.93 6.42 "AMD FirePro D500 (FireGL V)"
1002 67B0 61.12 87.04 30.41 6.55 5.36 3.44 2.43 1.77 "AMD Radeon (TM) R9 390 Series"
1002 67B1 161.66 205.52 80.78 16.98 13.73 8.26 6.04 4.37 "AMD Radeon (TM) R9 390 Series"
1002 67B9 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon R9 200 Series"
1002 67C0 219.19 234.08 56.79 13.93 11.09 8.36 6.97 4.82 "AMD Radeon (TM) Pro WX 7130 Graphics"
1002 67C4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon (TM) Pro WX 7100 Graphics"
1002 67C7 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "Radeon (TM) Pro WX 5100 Graphics"
1002 67DF 288.42 340.18 112.41 27.39 22.14 13.83 9.96 7.45 "AMD Radeon (TM) RX 480"
1002 67E3 73.73 83.52 22.37 5.19 4.56 3.33 2.14 1.60 "Radeon (TM) Pro WX 4100"
1002 67E8 15.25 16.07 6.68 1.67 1.43 0.81 0.57 0.42 "Radeon (TM) Pro WX 4130 Graphics"
1002 67EF 70.75 79.68 25.27 6.50 5.29 3.16 2.30 1.67 "AMD Radeon (TM) RX 460"
1002 67FF 64.44 73.51 29.18 7.24 5.16 2.99 2.11 1.53 "AMD RADV POLARIS11 (LLVM 8.0.0)"
1002 6800 178.84 226.98 94.60 23.65 16.66 9.38 6.73 4.84 "AMD Radeon HD 7970M"
1002 6801 198.39 252.89 109.93 25.63 18.67 10.85 7.80 5.56 "AMD Radeon R9 M290X"
1002 6808 184.56 220.69 91.99 23.00 16.20 9.12 6.55 4.71 "AMD FirePro W7000"
1002 6810 240.45 298.85 124.81 31.20 22.24 12.53 8.95 6.45 "AMD FirePro D300 (FireGL V)"
1002 6811 191.19 224.27 107.11 26.53 16.59 9.38 6.72 4.84 "AMD Radeon (TM) R7 300 Series"
1002 6818 234.58 293.38 121.86 30.49 21.45 12.04 8.60 6.18 "AMD Radeon HD 7800 Series"
1002 6819 179.42 204.14 106.50 26.62 15.43 8.71 6.23 4.49 "AMD Radeon HD 7800 Series"
1002 6820 39.99 49.70 21.56 5.30 3.94 2.22 1.61 1.16 "AMD FirePro W5170M"
1002 6821 76.30 100.37 42.60 10.43 7.66 4.36 3.12 2.26 "AMD FirePro M5100 FireGL V"
1002 6823 59.52 88.13 36.86 9.11 6.41 3.68 2.62 1.88 "AMD Radeon HD 8850M"
1002 6825 82.89 113.04 47.01 11.76 8.30 4.68 3.36 2.41 "AMD (ATI) FirePro M6000 (FireGL V) Mobility Pro Graphics"
1002 6827 79.56 95.31 39.64 9.91 7.00 3.94 2.83 2.03 "AMD Radeon HD 7800M Series"
1002 6828 49.35 58.19 44.27 7.70 4.99 3.16 2.36 1.78 "Matrox C680 PCIe x16"
1002 682B 75.95 82.25 48.54 10.40 6.08 3.66 2.66 1.94 "AMD FirePro W5130M"
1002 682C 43.21 47.51 27.86 6.05 3.83 2.29 1.64 1.21 "AMD FirePro W4100"
1002 682D 55.07 70.00 34.89 8.73 5.14 2.89 2.08 1.50 "AMD (ATI) FirePro M4000 (FireGL V) Mobility Pro Graphics"
1002 682F 58.49 64.92 25.11 6.28 4.76 2.68 1.93 1.38 "AMD Radeon HD 7700M Series"
1002 6835 80.85 85.93 48.60 10.89 6.82 3.99 2.89 2.10 "AMD Radeon (TM) R9 255"
1002 6837 45.56 48.20 16.12 4.00 3.36 1.94 1.40 1.01 "AMD Radeon HD 7700 Series"
1002 683D 109.35 141.22 58.65 14.66 10.55 5.97 4.27 3.07 "AMD Radeon HD 7700 Series"
1002 683F 63.66 69.72 37.30 8.97 5.15 2.98 2.14 1.54 "AMD Radeon HD 7700 Series"
1002 6840 47.87 49.52 16.79 124.22 3.24 1.73 1.13 0.78 "AMD Radeon HD 7600M Series"
1002 6841 41.28 42.06 14.00 263.60 2.73 1.46 0.95 0.66 "AMD FirePro M2000"
1002 6843 28.37 28.03 9.66 2.41 1.91 0.99 0.64 0.44 "AMD Radeon HD 6570"
1002 6860 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "Radeon Pro 580"
1002 6863 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "Radeon Vega Frontier Edition"
1002 6867 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "Radeon Pro 580"
1002 6869 426.72 603.88 203.26 51.22 44.74 25.28 18.14 13.01 "Radeon Pro Vega 48"
1002 687F 287.30 535.92 154.55 36.48 31.72 20.17 14.70 10.80 "AMD RADV VEGA10 (LLVM 7.0.1)"
1002 6888 98.17 236.71 97.87 24.47 16.13 8.35 5.41 3.71 "ATI FirePro V8800 (FireGL) Graphics Adapter"
1002 6889 83.31 180.82 83.67 20.84 12.32 6.38 4.13 2.84 "ATI FirePro V7800 (FireGL) Graphics Adapter"
1002 6898 97.86 235.99 97.57 24.39 16.05 8.31 5.38 3.69 "AMD Radeon HD 5800 Series"
1002 6899 80.78 175.35 80.65 20.16 11.85 6.14 3.98 2.74 "AMD Radeon HD 5800 Series"
1002 689C 88.05 212.47 87.96 21.98 14.48 7.52 4.84 3.36 "AMD Radeon HD 5900 Series"
1002 689E 43.81 73.99 33.56 8.40 4.99 2.58 1.65 1.14 "AMD Radeon HD 5800 Series"
1002 68A0 78.58 95.33 37.97 1050.23 6.23 3.37 2.17 1.51 "AMD Mobility Radeon HD 5800 Series"
1002 68A1 72.80 87.96 29.97 7.47 5.39 2.96 1.95 1.36 "AMD Mobility Radeon HD 5800 Series"
1002 68A8 63.44 77.74 21.23 5.29 3.83 2.55 1.72 1.21 "AMD Radeon HD 6800M Series"
1002 68A9 81.62 99.17 40.90 10.23 6.64 3.45 2.20 1.52 "ATI FirePro V5800"
1002 68B8 96.84 117.21 48.34 12.15 7.88 4.13 2.67 1.84 "AMD Radeon HD 5700 Series"
1002 68B9 37.13 39.52 6.88 1.66 1.35 1.19 0.83 0.55 "AMD Radeon HD 5600/5700"
1002 68BA 94.02 116.27 48.91 738.48 7.71 4.08 2.64 1.79 "AMD Radeon HD 6700 Series"
1002 68BE 82.86 89.06 42.24 10.55 6.29 3.27 2.12 1.47 "AMD Radeon HD 5700 Series"
1002 68BF 81.88 89.21 37.82 1324.65 5.79 3.10 2.02 1.40 "AMD Radeon HD 6700 Series"
1002 68C0 40.03 41.66 17.16 4.30 2.73 1.47 0.95 0.66 "AMD Mobility Radeon HD 5000"
1002 68C1 33.21 35.04 14.41 419.70 2.34 1.23 0.79 0.55 "AMD Mobility Radeon HD 5000 Series"
1002 68C7 40.00 39.52 16.34 4.08 2.67 1.41 0.91 0.63 "AMD Mobility Radeon HD 5570"
1002 68C8 50.92 50.32 20.80 5.20 3.45 1.80 1.17 0.81 "ATI FirePro V4800 (FireGL V)"
1002 68C9 47.24 46.68 12.28 3.00 2.34 1.47 1.00 0.70 "ATI FirePro V3800 (FireGL V)"
1002 68D8 78.66 91.32 40.57 1231.55 6.36 3.52 2.45 1.78 "AMD Radeon HD 5670"
1002 68D9 46.68 46.17 19.28 4.65 2.99 1.61 1.04 0.72 "AMD Radeon HD 5570"
1002 68DA 31.66 31.28 13.58 3.33 1.99 1.09 0.71 0.49 "AMD Radeon HD 5500 Series"
1002 68E0 10.28 10.29 9.83 2.23 1.32 0.71 0.46 0.32 "AMD Mobility Radeon HD 5000 Series"
1002 68E1 9.38 9.28 7.41 1.70 1.08 0.60 0.40 0.28 "AMD Radeon HD 7350"
1002 68E4 10.06 10.13 9.99 2.25 1.31 0.70 0.46 0.32 "AMD Radeon HD 6300M Series"
1002 68E5 8.62 8.57 6.26 1.45 0.96 0.54 0.37 0.25 "AMD Radeon HD 6300M Series"
1002 68F2 8.70 8.61 8.08 1.86 1.10 0.60 0.39 0.27 "AMD FirePro 2270"
1002 68F9 9.27 8.97 7.03 1.63 1.05 0.59 0.39 0.27 "AMD Radeon HD 5450"
1002 68FA 9.45 9.35 9.72 2.19 1.25 0.66 0.43 0.30 "AMD Radeon HD 7300 Series"
1002 6900 65.20 70.38 26.13 5.76 4.63 2.81 2.06 1.48 "AMD Radeon (TM) R7 M340"
1002 6901 57.32 60.16 24.40 5.21 3.92 2.33 1.71 1.23 "AMD Radeon R5 M255"
1002 6907 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon (TM) R5 M315"
1002 6920 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD RADEON R9 M395"
1002 6921 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon (TM) R9 M390X"
1002 692B 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD FirePro W7100"
1002 6938 6.75 17.21 3.27 0.80 0.71 0.62 0.46 0.29 "AMD Radeon (TM) R9 380 Series"
1002 6939 13.67 14.92 4.56 1.12 1.00 0.59 0.46 0.32 "AMD Radeon (TM) R9 380 Series"
1002 694C 355.85 402.69 254.15 45.39 29.55 16.60 11.95 8.56 "Radeon RX Vega M GH Graphics"
1002 694E 243.10 261.54 107.52 26.43 19.56 10.96 7.91 5.69 "Radeon RX Vega M GL Graphics"
1002 694F 269.63 287.76 117.88 29.09 21.13 11.87 8.54 6.12 "Radeon Pro WX Vega M GL Graphics"
1002 6981 119.18 142.07 57.91 12.35 6.70 5.37 3.90 2.77 "AMD Radeon Pro WX3200 Graphics"
1002 6985 101.83 107.62 55.47 13.98 7.18 4.02 3.16 2.26 "AMD Radeon Pro WX 3100"
1002 6987 92.07 99.93 50.52 10.93 6.82 4.11 2.97 2.09 "Radeon 540X Series"
1002 6995 123.05 137.35 71.98 14.86 7.65 5.39 4.11 2.77 "AMD Radeon Pro WX 2100"
1002 699F 123.37 130.31 65.85 16.10 9.43 5.40 3.86 2.80 "AMD Radeon RX 550"
1002 69AF 283.16 319.64 273.20 44.79 23.31 13.13 9.42 6.76 "Radeon Pro Vega 16"
1002 6FDF 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon RX 580 2048SP"
1002 7100 2.19 8.64 29.88 4.51 2.16 0.97 0.52 0.32 "Radeon X1800 Series"
1002 710A 1.86 5.45 21.01 2.88 1.41 0.62 0.33 0.20 "Radeon X1800 GTO"
1002 7142 0.51 1.99 6.26 1.04 0.50 0.22 0.12 0.07 "Radeon X1300/X1550 Series"
1002 7146 0.42 1.63 5.34 0.85 0.41 0.18 0.10 0.06 "Radeon X1300 / X1550 Series  (Microsoft Corporation - WDDM)"
1002 7149 0.37 1.45 4.97 0.73 0.35 0.16 0.09 0.05 "ATI Mobility Radeon X1300"
1002 7163 0.51 2.00 6.21 1.04 0.49 0.22 0.12 0.07 "ATI Radeon X1300/X1550 Series Secondary"
1002 7181 0.59 2.32 6.32 1.20 0.56 0.26 0.14 0.08 "Radeon X1650 Series"
1002 7183 0.55 2.17 6.31 1.13 0.53 0.24 0.13 0.08 "Radeon X1300/X1550 Series (Microsoft Corporation - WDDM)"
1002 7187 0.42 1.62 5.44 0.79 0.37 0.18 0.10 0.06 "Radeon X1300/X1550 Series (Microsoft Corporation - WDDM)"
1002 7188 0.44 1.74 6.01 0.87 0.42 0.20 0.10 0.06 "ATI Mobility Radeon X2300"
1002 718A 0.44 1.74 2.13 0.46 0.31 0.19 0.12 0.08 "ATI Mobility Radeon X2300"
1002 7196 0.39 1.51 5.12 0.75 0.36 0.17 0.09 0.06 "ATI Mobility Radeon X1350"
1002 71C0 1.35 6.19 8.10 1.13 0.55 0.24 0.13 0.08 "Radeon X1600 Series"
1002 71C1 1.29 5.94 6.98 1.01 0.47 0.22 0.12 0.07 "Radeon X1650 Series"
1002 71C2 1.15 5.13 6.22 0.83 0.39 0.19 0.11 0.06 "Radeon X1600/X1650 Series"
1002 71C5 0.98 4.46 5.81 0.81 0.40 0.18 0.10 0.06 "ATI MOBILITY RADEON X1600"
1002 71C6 1.37 6.25 8.12 1.07 0.51 0.24 0.13 0.08 "Radeon X1650 Series"
1002 71C7 1.16 5.27 6.90 0.96 0.46 0.21 0.11 0.07 "Radeon X1650 Series"
1002 71D2 1.16 5.28 6.90 0.96 0.47 0.21 0.11 0.07 "ATI FireGL V3400"
1002 71D5 1.09 4.97 6.44 0.90 0.44 0.20 0.10 0.06 "ATI MOBILITY RADEON X1700"
1002 71DE 0.98 4.47 4.90 0.77 0.37 0.17 0.09 0.06 "ATI MOBILITY RADEON X1700"
1002 7240 1.86 21.02 27.69 3.84 1.84 0.83 0.44 0.27 "Radeon X1950 Series (Microsoft Corporation - WDDM)"
1002 7244 1.84 20.66 27.64 3.81 1.87 0.82 0.44 0.27 "Radeon X1950 Series (Microsoft Corporation - WDDM)"
1002 7249 2.30 25.89 34.33 4.62 2.14 1.00 0.54 0.33 "Radeon X1900 Series (Microsoft Corporation - WDDM)"
1002 724B 1.90 16.07 22.15 2.95 1.45 0.64 0.34 0.21 "Radeon X1900 GT"
1002 7280 2.39 17.94 25.35 3.41 1.64 0.75 0.40 0.24 "Radeon X1950 Pro"
1002 7288 1.83 15.03 21.18 2.86 1.40 0.62 0.33 0.20 "ATI Radeon X1950 GT (Microsoft Corporation - WDDM)"
1002 7291 1.85 10.52 9.81 1.80 0.86 0.40 0.22 0.13 "Radeon X1650 Series"
1002 72A0 2.14 17.49 24.67 3.33 1.63 0.72 0.38 0.24 "Radeon X1950 Pro Secondary"
1002 7300 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "AMD Radeon (TM) R9 Fury Series"
1002 731F 798.07 1014.37 420.29 102.41 70.81 40.90 30.01 22.80 "AMD Radeon RX 5600 XT"
1002 7340 366.39 513.47 185.16 45.55 35.95 20.73 15.19 11.46 "AMD Radeon Pro 5300M"
1002 791E 1.04 1.46 3.04 0.56 0.28 0.12 0.07 0.05 "ATI Radeon X1200 Series (Microsoft Corporation - WDDM)"
1002 791F 0.19 1.46 2.51 0.57 0.28 0.12 0.07 0.05 "ATI Radeon X1200 Series"
1002 7941 1.24 1.83 5.66 0.79 0.39 0.19 0.10 0.06 "ATI Radeon Xpress 1200 Series"
1002 7942 0.66 1.83 5.52 0.84 0.42 0.20 0.10 0.07 "ATI Radeon Xpress 1250"
1002 9400 29.46 29.13 29.53 3.88 1.93 0.98 0.63 0.44 "ATI Radeon HD 2900 XT"
1002 940F 33.85 34.32 34.60 4.94 2.45 1.36 0.91 0.67 "ATI FireGL V7600"
1002 9440 88.54 107.02 43.74 10.94 7.14 3.64 2.26 1.54 "ATI Radeon HD 4800 Series"
1002 9441 60.38 72.86 29.76 7.44 4.83 2.48 1.54 1.05 "ATI Radeon HD 4870 X2"
1002 9442 76.05 91.78 37.51 9.38 6.11 3.12 1.94 1.32 "ATI Radeon HD 4800 Series"
1002 9443 72.36 87.92 35.80 8.97 6.64 3.71 2.35 1.71 "ATI Radeon HD 4850 X2"
1002 944A 68.78 82.94 33.90 8.47 5.45 2.82 1.76 1.19 "ATI Mobility Radeon HD 4850"
1002 944C 62.22 62.17 31.78 7.94 4.15 2.11 1.31 0.89 "ATI Radeon HD 4800 Series"
1002 944E 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 "ATI Radeon HD 4700 Series"
1002 945A 65.26 78.75 32.17 8.04 5.26 2.68 1.66 1.13 "ATI Mobility Radeon HD 4870"
1002 9460 95.28 115.02 47.02 11.75 7.55 3.80 2.37 1.61 "ATI Radeon HD 4800 Series"
1002 9462 80.26 80.47 41.11 10.27 5.37 2.73 1.70 1.15 "ATI Radeon HD 4800 Series"
1002 9480 26.23 28.79 14.60 3.64 3.08 1.84 1.18 0.80 "ATI Mobility Radeon HD 4650"
1002 9488 32.41 35.06 18.07 4.49 3.72 2.22 1.42 0.97 "ATI Mobility Radeon HD 4670"
1002 9490 39.31 41.22 21.04 5.16 4.24 2.56 1.65 1.14 "ATI Radeon HD 4600 Series"
1002 9495 29.55 29.25 10.87 2.64 2.15 1.50 1.03 0.74 "ATI Radeon HD 4600 Series"
1002 9498 32.68 34.52 11.41 2.79 2.28 1.64 1.14 0.83 "ATI Radeon HD 4600 Series"
1002 949E 28.30 30.03 15.55 3.88 3.35 1.98 1.24 0.85 "ATI FirePro V5700 (FireGL)"
1002 94A3 74.99 74.54 38.23 9.57 4.93 2.53 1.57 1.07 "ATI FirePro M7740"
1002 94B3 86.61 86.28 44.20 11.01 5.64 2.92 1.82 1.23 "ATI Radeon HD 4770"
1002 94C1 4.66 4.61 7.77 1.23 0.61 0.31 0.20 0.15 "ATI Radeon HD 2400 Pro"
1002 94C3 3.58 3.55 5.36 0.94 0.47 0.24 0.15 0.11 "ATI Radeon HD 2400 PRO"
1002 94C4 2.77 2.90 4.95 0.72 0.38 0.19 0.12 0.09 "ATI Radeon HD 2400 PRO AGP"
1002 94C7 2.02 1.37 2.34 0.91 0.45 0.23 0.15 0.11 "ATI Mobility Radeon HD 2350"
1002 94C8 4.28 4.24 5.80 1.10 0.55 0.28 0.18 0.13 "ATI Mobility Radeon HD 2400 XT"
1002 94C9 3.21 3.17 5.21 0.86 0.42 0.22 0.14 0.10 "ATI Mobility Radeon HD 2400"
1002 9501 44.65 44.16 44.62 5.89 2.92 1.48 0.95 0.67 "ATI Radeon HD 3800 Series"
