1
Vendor Device GVertexMath GPixelMath GOutputBytes GAniso1 GAniso2 GAniso4 GAniso8 GAniso16
1002 9505 38.28 37.86 33.12 5.05 2.49 1.27 0.81 0.58 "ATI Radeon HD 3800 Series"
1002 950F 45.75 45.25 45.69 6.04 2.99 1.52 0.97 0.69 "ATI Radeon HD 3870 X2"
1002 9513 38.88 38.46 39.27 5.13 2.54 1.29 0.83 0.59 "ATI Radeon HD 3850 X2"
1002 9515 43.81 13.46 30.46 5.90 2.93 1.49 0.95 0.67 "ATI Radeon HD 3850 AGP"
1002 9540 8.90 8.66 8.70 2.21 1.16 0.60 0.37 0.25 "ATI Radeon HD 4550"
1002 954F 8.34 8.02 5.24 1.25 0.88 0.50 0.32 0.23 "ATI Radeon HD 4300 Series"
1002 9552 6.89 6.69 5.89 1.41 0.83 0.44 0.28 0.19 "ATI Mobility Radeon HD 4300 Series"
1002 9553 9.07 8.93 8.50 2.02 1.13 0.60 0.37 0.26 "ATI Mobility Radeon HD 4500 Series"
1002 9555 7.32 7.14 7.51 1.85 0.96 0.50 0.31 0.21 "ATI Mobility Radeon HD 4300/4500 Series"
1002 9581 10.15 10.04 6.83 1.71 0.88 0.45 0.29 0.21 "ATI Mobility Radeon HD 2600"
1002 9583 14.05 13.89 9.50 2.38 1.23 0.63 0.40 0.29 "ATI Mobility Radeon HD 2600 XT"
1002 9586 16.79 17.32 11.58 2.89 1.51 0.77 0.49 0.36 "ATI Radeon HD 2600 XT AGP"
1002 9587 13.75 13.89 9.31 2.32 1.35 0.76 0.51 0.38 "ATI Radeon HD 2600/3600 Series"
1002 9588 17.20 17.00 11.62 2.91 1.50 0.76 0.49 0.36 "ATI Radeon HD 2600 XT"
1002 9589 12.46 12.31 8.38 2.10 1.08 0.56 0.36 0.26 "ATI Radeon HD 2600 Pro"
1002 958C 16.95 17.30 11.65 2.91 1.64 0.92 0.62 0.46 "ATI FireGL V5600"
1002 9591 12.13 12.05 8.12 2.06 1.06 0.54 0.35 0.25 "ATI Mobility Radeon HD 3650"
1002 9593 14.07 14.42 9.68 2.42 1.42 0.79 0.53 0.39 "ATI Mobility Radeon HD 3670"
1002 9598 15.69 15.51 10.41 2.60 1.35 0.70 0.45 0.32 "ATI Radeon HD 3600 Series"
1002 95C0 4.35 4.30 5.94 1.13 0.57 0.29 0.18 0.13 "ATI Radeon HD 3400 Series"
1002 95C2 3.30 3.27 6.25 0.88 0.43 0.22 0.14 0.10 "ATI Mobility Radeon HD 3430"
1002 95C4 4.19 4.32 6.54 1.15 0.57 0.29 0.19 0.13 "ATI Mobility Radeon HD 3400 Series"
1002 95C5 4.19 4.14 5.59 1.08 0.55 0.28 0.18 0.13 "ATI Radeon HD 3400 Series"
1002 95C6 4.18 4.30 5.46 1.05 0.62 0.35 0.24 0.18 "ASUS AH3450 Series"
1002 95CC 5.79 5.73 8.29 1.54 0.76 0.39 0.25 0.18 "ATI FirePro V3700 (FireGL)"
1002 9610 3.80 3.76 4.27 0.84 0.49 0.25 0.16 0.11 "ATI Radeon HD 3200 Graphics"
1002 9611 2.57 2.54 2.77 0.61 0.33 0.17 0.11 0.08 "ATI Radeon 3100 Graphics"
1002 9612 3.33 3.01 4.08 0.78 0.41 0.21 0.14 0.10 "ATI Radeon HD 3200 Graphics"
1002 9613 2.87 2.84 4.33 0.76 0.37 0.19 0.12 0.09 "ATI Radeon 3100 Graphics"
1002 9614 4.87 4.52 7.64 1.23 0.61 0.32 0.21 0.15 "ATI Radeon HD 3300 Graphics"
1002 9616 2.73 2.70 5.00 0.73 0.36 0.18 0.12 0.09 "AMD 760G"
1002 9620 4.05 1.63 2.80 1.02 0.54 0.27 0.18 0.13 "ATI Radeon HD 3200 Graphics"
1002 9640 42.13 42.10 11.80 2.93 2.19 1.35 0.91 0.64 "AMD Radeon HD 6550D"
1002 9641 34.98 35.52 13.78 3.43 2.38 1.25 0.81 0.56 "AMD Radeon HD 6620G"
1002 9642 12.93 12.78 6.53 1.63 0.87 0.45 0.29 0.20 "AMD Radeon HD 6370D"
1002 9643 11.63 11.50 5.89 1.47 0.79 0.41 0.26 0.19 "AMD Radeon HD 6380G"
1002 9644 17.46 17.25 8.23 2.00 1.15 0.61 0.40 0.27 "AMD Radeon HD 6410D"
1002 9645 12.93 12.78 6.24 1.55 0.87 0.45 0.29 0.20 "AMD Radeon HD 6410D"
1002 9647 25.62 25.54 11.32 2.80 1.71 0.90 0.59 0.40 "(PE64) AMD Radeon HD 6520G"
1002 9648 23.75 24.46 11.29 2.59 1.65 0.87 0.56 0.39 "AMD Radeon HD 6480G"
1002 9649 18.56 18.47 9.05 2.23 1.22 0.65 0.42 0.29 "AMD Radeon(TM) HD 6480G"
1002 964A 28.06 27.79 10.38 2.56 1.67 0.94 0.62 0.43 "AMD Radeon HD 6530D"
1002 9710 3.81 3.77 6.37 1.00 0.50 0.25 0.17 0.12 "ATI Radeon HD 4200"
1002 9712 9.65 9.59 13.92 2.39 1.19 0.61 0.39 0.28 "AMD M880G with ATI Mobility Radeon HD 4200"
1002 9714 5.05 4.82 7.05 1.30 0.65 0.33 0.22 0.16 "ATI Radeon HD 4290"
1002 9715 4.29 4.25 6.02 1.12 0.57 0.29 0.19 0.14 "ATI Radeon HD 4250"
1002 9802 7.89 7.89 6.41 1.50 0.92 0.49 0.32 0.22 "AMD Radeon HD 6310 Graphics"
1002 9803 7.78 6.41 6.39 1.48 0.98 0.53 0.34 0.24 "AMD Radeon HD 6300 series Graphics"
1002 9804 4.01 3.97 4.08 0.94 0.54 0.28 0.18 0.12 "AMD Radeon HD 6200 series Graphics"
1002 9806 8.92 8.92 7.28 1.68 1.03 0.55 0.36 0.25 "AMD Radeon HD 6320 Graphic"
1002 9807 4.19 4.09 4.26 0.98 0.56 0.29 0.18 0.13 "AMD Radeon HD 6290 Graphics"
1002 9808 9.38 9.31 7.40 1.74 1.09 0.58 0.38 0.26 "AMD Radeon HD 7340 Graphics"
1002 9809 7.03 6.94 5.79 1.36 0.89 0.48 0.31 0.22 "AMD Radeon HD 7310 Graphics"
1002 980A 4.32 4.19 4.28 0.99 0.57 0.30 0.19 0.13 "AMD Radeon HD 7290 Graphics"
1002 9830 19.45 20.61 7.46 1.86 1.23 0.80 0.59 0.42 "AMD Radeon HD 8400"
1002 9832 32.67 36.94 9.42 2.33 1.75 1.33 1.00 0.74 "AMD Radeon HD 8330"
1002 9833 13.93 14.16 6.98 1.81 1.04 0.58 0.42 0.30 "AMD Radeon(TM) HD 8330E"
1002 9834 12.90 12.83 5.61 1.39 0.91 0.57 0.42 0.30 "AMD Radeon HD 8210"
1002 9836 20.15 25.23 8.42 2.11 1.50 0.98 0.72 0.52 "AMD Radeon HD 8200 / R3 Series"
1002 9838 10.63 11.09 5.70 1.42 0.81 0.46 0.33 0.23 "AMD Radeon  R2 Series"
1002 9839 6.31 6.42 3.34 0.84 0.47 0.26 0.19 0.14 "AMD Radeon HD 8180"
1002 983D 11.18 11.41 5.60 1.41 0.86 0.50 0.36 0.25 "AMD Radeon HD 8250"
1002 9850 22.75 26.70 9.02 2.26 1.55 1.04 0.78 0.56 "AMD Radeon(TM) R2 Graphics"
1002 9851 34.56 40.41 10.66 2.57 1.99 1.51 1.14 0.84 "AMD Radeon(TM) R4 Graphics"
1002 9852 14.85 16.31 7.33 1.74 1.10 0.66 0.48 0.35 "AMD Radeon(TM) R2 Graphics"
1002 9853 16.86 18.00 6.24 1.56 1.03 0.68 0.51 0.37 "AMD Radeon(TM) R2 Graphics"
1002 9854 8.14 8.82 4.59 1.11 0.65 0.36 0.27 0.18 "AMD Radeon(TM) R3 Graphics"
1002 9874 42.83 46.58 13.74 3.12 2.57 1.84 1.35 1.00 "AMD Radeon (TM) R5 Graphics"
1002 98E4 31.47 32.66 16.16 3.08 2.11 1.32 0.97 0.70 "AMD Radeon Series"
1002 9900 48.23 51.63 16.19 4.01 3.10 1.73 1.15 0.81 "AMD Radeon HD 7660G"
1002 9901 66.22 67.62 16.77 4.19 3.32 2.10 1.46 1.03 "AMD Radeon HD 7660D"
1002 9903 39.32 40.77 14.34 3.54 2.35 1.42 0.96 0.68 "AMD Radeon HD 7640G"
1002 9904 43.54 43.01 15.38 3.80 2.42 1.43 0.95 0.66 "AMD Radeon HD 7560D"
1002 9907 49.78 56.57 12.05 2.83 2.28 1.86 1.44 1.05 "AMD Radeon HD 7620G"
1002 9908 39.93 40.90 10.26 2.56 2.07 1.39 0.99 0.71 "AMD Radeon HD 7600G"
1002 990A 25.45 25.00 10.60 2.64 1.59 0.87 0.56 0.40 "AMD Radeon HD 7500G"
1002 990B 90.22 113.16 40.39 9.80 7.47 4.61 3.24 2.38 "AMD Radeon HD 8650G"
1002 990C 64.18 67.12 15.01 3.76 3.01 1.99 1.41 1.00 "AMD Radeon HD 8670D"
1002 990D 39.61 43.13 13.30 3.35 2.40 1.55 1.10 0.79 "AMD Radeon HD 8550G"
1002 990E 47.05 47.14 13.16 3.28 2.31 1.49 1.01 0.71 "AMD Radeon HD 8570D"
1002 990F 47.79 54.08 14.47 3.23 2.70 1.87 1.39 1.00 "AMD Radeon HD 8610G"
1002 9990 32.87 33.67 11.69 2.92 2.26 1.21 0.79 0.55 "AMD Radeon HD 7520G"
1002 9991 33.68 33.35 10.08 2.49 1.97 1.13 0.74 0.52 "AMD Radeon HD 7540D"
1002 9992 28.69 29.37 12.00 2.99 1.97 1.05 0.69 0.48 "AMD Radeon HD 7420G"
1002 9993 20.98 20.77 9.64 2.37 1.36 0.73 0.47 0.33 "AMD Radeon HD 7480D"
1002 9994 17.08 16.88 5.80 1.43 1.13 0.59 0.39 0.27 "AMD Radeon HD 7400G"
1002 9995 36.04 39.32 13.06 3.24 2.51 1.48 1.02 0.73 "AMD Radeon HD 8450G"
1002 9996 34.51 34.47 9.77 2.40 1.89 1.14 0.76 0.53 "AMD Radeon HD 8470D"
1002 9997 42.24 47.71 10.85 2.69 2.10 1.69 1.27 0.94 "AMD Radeon HD 8350G"
1002 9998 22.00 21.75 9.98 2.45 1.41 0.76 0.50 0.34 "AMD Radeon HD 8370D"
1002 9999 41.18 44.04 10.53 2.63 2.09 1.34 0.93 0.67 "AMD Radeon HD 8510G"
1002 999C 50.40 61.67 6.43 1.87 1.63 1.35 1.12 0.81 "AMD Radeon HD 8650D"
10DE 45 0.99 9.89 20.72 1.96 1.34 0.89 0.66 0.52 "NVIDIA GeForce 6800 GT"
10DE 91 1.72 19.12 25.41 3.60 2.47 1.63 1.23 1.00 "NVIDIA GeForce 7800 GTX"
10DE 92 1.44 14.96 23.89 2.83 2.04 1.41 1.20 0.98 "NVIDIA GeForce 7800 GT"
10DE C0 1.00 8.99 18.72 1.78 1.28 0.89 0.75 0.62 "NVIDIA GeForce 6800 GS"
10DE C1 0.76 6.84 9.54 1.35 0.92 0.60 0.46 0.37 "NVIDIA GeForce 6800"
10DE C3 0.60 4.53 9.23 1.43 0.83 0.49 0.35 0.28 "NVIDIA GeForce 6800 XT (Microsoft Corporation - WDDM)"
10DE F1 0.71 7.11 7.42 1.39 0.95 0.62 0.46 0.37 "NVIDIA GeForce 6600 GT"
10DE F6 0.66 4.95 10.30 0.98 0.71 0.49 0.42 0.34 "NVIDIA GeForce 6800 GS/XT"
10DE 140 0.71 7.08 7.39 1.40 0.95 0.62 0.47 0.38 "NVIDIA GeForce 6600 GT"
10DE 141 0.42 4.25 4.44 0.84 0.57 0.38 0.29 0.23 "NVIDIA GeForce 6600"
10DE 147 0.74 7.42 7.70 1.46 1.00 0.66 0.50 0.40 "NVIDIA GeForce 6700 XL"
10DE 148 0.52 5.28 5.48 1.03 0.70 0.46 0.30 0.29 "NVIDIA GeForce Go 6600"
10DE 161 0.50 2.48 2.09 0.48 0.34 0.23 0.19 0.16 "NVIDIA GeForce 6200 TurboCache(TM)"
10DE 162 0.50 2.48 1.60 0.40 0.33 0.21 0.16 0.13 "NVIDIA GeForce 6200SE TurboCache(TM)"
10DE 167 0.42 2.11 2.20 0.42 0.29 0.19 0.14 0.12 "NVIDIA GeForce Go 6200"
10DE 16A 0.50 2.48 2.58 0.49 0.35 0.24 0.20 0.17 "NVIDIA GeForce 7100 GS"
10DE 191 18.55 19.95 16.35 8.09 5.57 3.02 2.07 1.56 "NVIDIA GeForce 8800 GTX"
10DE 193 15.65 18.19 16.22 7.58 5.12 2.75 1.88 1.42 "NVIDIA GeForce 8800 GTS"
10DE 194 30.29 41.01 28.14 14.26 9.81 5.26 3.59 2.70 "NVIDIA GeForce 8800 Ultra"
10DE 19E 17.86 19.64 20.74 8.59 5.72 3.07 2.09 1.57 "NVIDIA Quadro FX 4600"
10DE 1D1 0.64 3.23 3.09 0.63 0.43 0.28 0.22 0.17 "NVIDIA GeForce 7300 LE"
10DE 1D3 0.42 1.62 1.77 0.32 0.23 0.16 0.13 0.11 "NVIDIA GeForce 7300 SE/7200 GS"
10DE 1D7 0.49 2.51 3.11 0.76 0.45 0.27 0.19 0.15 "NVIDIA GeForce Go 7300"
10DE 1D8 0.63 3.22 4.06 1.00 0.58 0.34 0.24 0.19 "NVIDIA GeForce Go 7400"
10DE 1DC 0.63 3.22 2.94 0.63 0.43 0.28 0.21 0.17 "NVIDIA Quadro FX 350M"
10DE 1DD 0.63 3.22 3.30 0.83 0.62 0.38 0.30 0.24 "NVIDIA GeForce 7500 LE"
10DE 1DF 0.56 2.88 2.40 0.60 0.50 0.28 0.22 0.16 "NVIDIA GeForce 7300 GS"
10DE 221 0.50 2.48 2.59 0.49 0.33 0.22 0.17 0.14 "NVIDIA GeForce 6200"
10DE 240 0.22 1.67 2.56 0.32 0.22 0.16 0.13 0.11 "NVIDIA GeForce 6150"
10DE 241 0.20 1.50 2.79 0.28 0.19 0.13 0.10 0.08 "NVIDIA GeForce 6150 LE"
10DE 242 0.20 1.50 3.02 0.29 0.20 0.13 0.10 0.08 "NVIDIA GeForce 6100"
10DE 247 0.20 1.49 1.97 0.29 0.20 0.13 0.10 0.08 "NVIDIA GeForce Go 6100"
10DE 290 2.59 28.62 36.15 5.37 3.85 2.68 2.26 1.86 "NVIDIA GeForce 7900 GTX"
10DE 291 2.58 28.64 36.17 8.07 5.15 3.23 2.62 2.10 "NVIDIA GeForce 7900 GT/GTO"
10DE 292 1.53 16.61 25.20 5.00 2.90 1.71 1.23 0.97 "NVIDIA GeForce 7900 GS"
10DE 295 2.07 24.24 30.51 6.91 4.48 2.80 2.21 1.81 "NVIDIA GeForce 7950 GT"
10DE 297 2.11 25.41 32.12 7.15 4.31 2.54 1.84 1.46 "NVIDIA GeForce Go 7950 GTX"
10DE 298 1.97 22.09 33.43 3.78 2.48 1.58 1.14 0.90 "NVIDIA GeForce Go 7900 GS"
10DE 299 1.84 22.17 28.04 3.78 2.49 1.59 1.14 0.90 "NVIDIA Quadro NVS 510M"
10DE 29A 1.85 22.11 27.18 4.16 2.85 1.88 1.38 1.15 "NVIDIA Quadro FX 2500M"
10DE 29B 1.48 16.61 25.12 3.14 2.15 1.41 1.07 0.87 "NVIDIA Quadro FX 1500M"
10DE 29D 1.53 16.61 25.16 4.98 3.11 1.93 1.58 1.25 "NVIDIA Quadro FX 3500"
10DE 2E0 1.34 12.73 25.29 2.39 1.71 1.19 1.01 0.83 "NVIDIA GeForce 7600 GT (Microsoft Corporation - WDDM)"
10DE 2E1 0.94 8.87 17.60 1.43 0.84 0.50 0.36 0.28 "NVIDIA GeForce 7600 GS"
10DE 2E2 0.75 5.92 11.80 1.12 0.80 0.56 0.47 0.39 "NVIDIA GeForce 7300 GT"
10DE 312 0.15 0.57 2.39 0.51 0.27 0.14 0.09 0.00 "NVIDIA GeForce FX 5600"
10DE 332 0.55 2.67 5.75 1.41 0.71 0.38 0.24 0.00 "NVIDIA GeForce FX 5900XT"
